"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1061","Verify filtering by Price (High to Low)","","Fri Jan 03 17:31:34 GMT 2025","passed","Fri Jan 03 17:31:35 GMT 2025","","sourceDemo Filter Functionality","sourceDemo Filter Functionality","Verify filtering by Price (High to Low)"
"","4371","A007-User should be able to log in using valid credentials and add an item to the cart","","Fri Jan 03 17:31:14 GMT 2025","passed","Fri Jan 03 17:31:19 GMT 2025","","sourceDemo Continue Shipping Feature","sourceDemo Continue Shipping Feature","A007-User should be able to log in using valid credentials and add an item to the cart"
"","393","A031-Insert Integer value for author when inserting new book using POST request","","Fri Jan 03 17:33:17 GMT 2025","failed","Fri Jan 03 17:33:17 GMT 2025","","API Testing to Insert Invalid Author Data","API Testing to Insert Invalid Author Data","A031-Insert Integer value for author when inserting new book using POST request"
"","4020","A014-Verify that clicking on a product image navigates to the item detail page","","Fri Jan 03 17:33:05 GMT 2025","passed","Fri Jan 03 17:33:09 GMT 2025","","SauceDemo Product Image Navigation Feature","SauceDemo Product Image Navigation Feature","A014-Verify that clicking on a product image navigates to the item detail page"
"","222","A046-Attempt to delete a book with an invalid ID format as user","","Fri Jan 03 17:31:23 GMT 2025","passed","Fri Jan 03 17:31:23 GMT 2025","","API Testing to Delete Books Data","API Testing to Delete Books Data","A046-Attempt to delete a book with an invalid ID format as user"
"","65","A040-User is not authenticated when updating a book","","Fri Jan 03 17:33:39 GMT 2025","passed","Fri Jan 03 17:33:39 GMT 2025","","API Testing to Update Books Data","API Testing to Update Books Data","A040-User is not authenticated when updating a book"
"","149","A033-Retrieve a list of books as a user","","Fri Jan 03 17:30:27 GMT 2025","passed","Fri Jan 03 17:30:27 GMT 2025","","API Testing to Retrieve All Books","API Testing to Retrieve All Books","A033-Retrieve a list of books as a user"
"","381","A035-Admin retrieves a book by ID","","Fri Jan 03 17:30:32 GMT 2025","failed","Fri Jan 03 17:30:32 GMT 2025","","API Testing to Retrieve Book Details","API Testing to Retrieve Book Details","A035-Admin retrieves a book by ID"
"","336","A036-User retrieves a book by ID","","Fri Jan 03 17:30:32 GMT 2025","failed","Fri Jan 03 17:30:32 GMT 2025","","API Testing to Retrieve Book Details","API Testing to Retrieve Book Details","A036-User retrieves a book by ID"
"","142","A045-Attempt to delete a book with an invalid ID format as admin","","Fri Jan 03 17:31:23 GMT 2025","passed","Fri Jan 03 17:31:23 GMT 2025","","API Testing to Delete Books Data","API Testing to Delete Books Data","A045-Attempt to delete a book with an invalid ID format as admin"
"","4019","A004-User should log in to the system and Verify that when clicking on an item name it navigates to the item detail page","","Fri Jan 03 17:32:57 GMT 2025","passed","Fri Jan 03 17:33:01 GMT 2025","","Navigates to the item details page","Navigates to the item details page","A004-User should log in to the system and Verify that when clicking on an item name it navigates to the item detail page"
"","3857","A001-user should be able to login using Valid Credentials","","Fri Jan 03 17:32:31 GMT 2025","passed","Fri Jan 03 17:32:35 GMT 2025","","sourceDemo Login Feature","sourceDemo Login Feature","A001-user should be able to login using Valid Credentials"
"","5311","A006-User should be able to log in using valid credentials and add an item to the cart,and proceed to checkout","","Fri Jan 03 17:32:04 GMT 2025","passed","Fri Jan 03 17:32:10 GMT 2025","","sourceDemo  Checkout Feature","sourceDemo  Checkout Feature","A006-User should be able to log in using valid credentials and add an item to the cart,and proceed to checkout"
"","1281","A026-  Verify filtering by Price (High to Low)","","Fri Jan 03 17:31:45 GMT 2025","failed","Fri Jan 03 17:31:47 GMT 2025","","sourceDemo Filter Functionality","sourceDemo Filter Functionality","A026-  Verify filtering by Price (High to Low)"
"","178","Invalid login with admin credentials","","Fri Jan 03 17:30:10 GMT 2025","passed","Fri Jan 03 17:30:10 GMT 2025","","API Testing for Login User","API Testing for Login User","Invalid login with admin credentials"
"","402","A030-User Adding book with missing data","","Fri Jan 03 17:30:16 GMT 2025","failed","Fri Jan 03 17:30:16 GMT 2025","","API Testing to Insert Books Data","API Testing to Insert Books Data","A030-User Adding book with missing data"
"","4920","A002- user should be able to login using Valid Credentials and click on the add to cart option of the inventory page","","Fri Jan 03 17:30:37 GMT 2025","passed","Fri Jan 03 17:30:42 GMT 2025","","Add to Cart Feature in inventory page","Add to Cart Feature in inventory page","A002- user should be able to login using Valid Credentials and click on the add to cart option of the inventory page"
"","161","A037-Admin retrieves a non-existent book","","Fri Jan 03 17:30:32 GMT 2025","passed","Fri Jan 03 17:30:33 GMT 2025","","API Testing to Retrieve Book Details","API Testing to Retrieve Book Details","A037-Admin retrieves a non-existent book"
"","4796","A017-Add item to cart and verify in cart page","","Fri Jan 03 17:30:47 GMT 2025","passed","Fri Jan 03 17:30:52 GMT 2025","","Add item to cart on sourceDemo Website","Add item to cart on sourceDemo Website","A017-Add item to cart and verify in cart page"
"","1127","Verify filtering by Name (Z to A)","","Fri Jan 03 17:31:31 GMT 2025","passed","Fri Jan 03 17:31:33 GMT 2025","","sourceDemo Filter Functionality","sourceDemo Filter Functionality","Verify filtering by Name (Z to A)"
"","334","A043-Attempt to delete a book with a non-existence ID","","Fri Jan 03 17:30:22 GMT 2025","failed","Fri Jan 03 17:30:22 GMT 2025","","API Testing to Delete Books Data","API Testing to Delete Books Data","A043-Attempt to delete a book with a non-existence ID"
"","3688","A023 - Verify filtering by Name (A to Z)","","Fri Jan 03 17:31:39 GMT 2025","passed","Fri Jan 03 17:31:43 GMT 2025","","sourceDemo Filter Functionality","sourceDemo Filter Functionality","A023 - Verify filtering by Name (A to Z)"
"","434","A041-Updating book with missing values","","Fri Jan 03 17:33:39 GMT 2025","failed","Fri Jan 03 17:33:40 GMT 2025","","API Testing to Update Books Data","API Testing to Update Books Data","A041-Updating book with missing values"
"","4403","A008-user should be able to login using Valid Credentials","","Fri Jan 03 17:32:14 GMT 2025","passed","Fri Jan 03 17:32:18 GMT 2025","","sourceDemo Add to Cart Feature","sourceDemo Add to Cart Feature","A008-user should be able to login using Valid Credentials"
"","340","A032-Insert Empty value for id","","Fri Jan 03 17:33:13 GMT 2025","failed","Fri Jan 03 17:33:13 GMT 2025","","API Testing to Insert Empty Id Value with Books Data","API Testing to Insert Empty Id Value with Books Data","A032-Insert Empty value for id"
"","3968","A015-Verify the ""Back to products"" option on the item's new page","","Fri Jan 03 17:33:43 GMT 2025","passed","Fri Jan 03 17:33:47 GMT 2025","","sourceDemo Product Navigation Feature","sourceDemo Product Navigation Feature","A015-Verify the ""Back to products"" option on the item's new page"
"","600","A027-Admin successfully adds a new book","","Fri Jan 03 17:30:15 GMT 2025","failed","Fri Jan 03 17:30:15 GMT 2025","","API Testing to Insert Books Data","API Testing to Insert Books Data","A027-Admin successfully adds a new book"
"","4471","A022 - User should be able to log in using valid credentials, add an item to the cart, navigate cart page and navigate back to AllItem page","","Fri Jan 03 17:32:39 GMT 2025","passed","Fri Jan 03 17:32:43 GMT 2025","","sourceDemo AllItem Navigation Feature","sourceDemo AllItem Navigation Feature","A022 - User should be able to log in using valid credentials, add an item to the cart, navigate cart page and navigate back to AllItem page"
