"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4027","Verify that clicking on an item navigates to the item detail page","","Thu Jan 02 17:58:35 GMT 2025","passed","Thu Jan 02 17:58:39 GMT 2025","","sourceDemo Product Navigation Feature","sourceDemo Product Navigation Feature","Verify that clicking on an item navigates to the item detail page"
"","3875","Verify that clicking on a product image navigates to the item detail page","","Thu Jan 02 17:58:43 GMT 2025","broken","Thu Jan 02 17:58:47 GMT 2025","","SauceDemo Product Image Navigation Feature","SauceDemo Product Image Navigation Feature","Verify that clicking on a product image navigates to the item detail page"
"","543","Successfully updating a book's title and author","","Thu Jan 02 17:59:16 GMT 2025","failed","Thu Jan 02 17:59:16 GMT 2025","","API Testing to Update Books Data","API Testing to Update Books Data","Successfully updating a book's title and author"
"","4354","Verify the ""Back to products"" option on the item's new page","","Thu Jan 02 17:59:19 GMT 2025","broken","Thu Jan 02 17:59:23 GMT 2025","","sourceDemo Product Navigation Feature","sourceDemo Product Navigation Feature","Verify the ""Back to products"" option on the item's new page"
"","313","Insert Empty value for id","","Thu Jan 02 17:58:51 GMT 2025","failed","Thu Jan 02 17:58:51 GMT 2025","","API Testing to Insert Empty Id Value with Books Data","API Testing to Insert Empty Id Value with Books Data","Insert Empty value for id"
"","370","Insert Integer value for title when inserting new book using POST request","","Thu Jan 02 17:58:55 GMT 2025","broken","Thu Jan 02 17:58:55 GMT 2025","","API Testing to Insert Invalid Books Data","API Testing to Insert Invalid Books Data","Insert Integer value for title when inserting new book using POST request"
"","5484","User should be able to log in using valid credentials and add an item to the cart,and proceed to checkout","","Thu Jan 02 17:58:01 GMT 2025","passed","Thu Jan 02 17:58:07 GMT 2025","","sourceDemo  Checkout Feature","sourceDemo  Checkout Feature","User should be able to log in using valid credentials and add an item to the cart,and proceed to checkout"
"","3855","user should be able to login using Valid Credentials","","Thu Jan 02 17:58:27 GMT 2025","passed","Thu Jan 02 17:58:31 GMT 2025","","sourceDemo Login Feature","sourceDemo Login Feature","user should be able to login using Valid Credentials"
"","4185","Verify Add to Cart and Remove functionality directly from the dashboard","","Thu Jan 02 17:59:00 GMT 2025","passed","Thu Jan 02 17:59:04 GMT 2025","","sourceDemo RemoveItem Feature","sourceDemo RemoveItem Feature","Verify Add to Cart and Remove functionality directly from the dashboard"
"","1027","Verify filtering by Price (Low to High)","","Thu Jan 02 17:57:51 GMT 2025","passed","Thu Jan 02 17:57:52 GMT 2025","","sourceDemo Filter Functionality","sourceDemo Filter Functionality","Verify filtering by Price (Low to High)"
"","342","Successfully delete a book by ID","","Thu Jan 02 17:56:47 GMT 2025","broken","Thu Jan 02 17:56:47 GMT 2025","","API Testing to Delete Books Data","API Testing to Delete Books Data","Successfully delete a book by ID"
"","205","Valid login with user credentials","","Thu Jan 02 17:56:37 GMT 2025","passed","Thu Jan 02 17:56:37 GMT 2025","","API Testing for Login User","API Testing for Login User","Valid login with user credentials"
"","1086","Verify filtering by Name (Z to A)","","Thu Jan 02 17:57:50 GMT 2025","passed","Thu Jan 02 17:57:51 GMT 2025","","sourceDemo Filter Functionality","sourceDemo Filter Functionality","Verify filtering by Name (Z to A)"
"","4370","User should be able to log in using valid credentials and add an item to the cart","","Thu Jan 02 17:57:38 GMT 2025","passed","Thu Jan 02 17:57:42 GMT 2025","","sourceDemo Continue Shipping Feature","sourceDemo Continue Shipping Feature","User should be able to log in using valid credentials and add an item to the cart"
