"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1379","A026-  Verify filtering by Price (High to Low)","","Fri Jan 03 16:27:12 GMT 2025","failed","Fri Jan 03 16:27:13 GMT 2025","","sourceDemo Filter Functionality","sourceDemo Filter Functionality","A026-  Verify filtering by Price (High to Low)"
"","352","Valid login with user credentials","","Fri Jan 03 16:25:37 GMT 2025","passed","Fri Jan 03 16:25:38 GMT 2025","","API Testing for Login User","API Testing for Login User","Valid login with user credentials"
"","4121","A004-User should log in to the system and Verify that when clicking on an item name it navigates to the item detail page","","Fri Jan 03 16:28:24 GMT 2025","passed","Fri Jan 03 16:28:28 GMT 2025","","Navigates to the item details page","Navigates to the item details page","A004-User should log in to the system and Verify that when clicking on an item name it navigates to the item detail page"
"","186","A034-Retrieve a list of books as an admin","","Fri Jan 03 16:25:54 GMT 2025","passed","Fri Jan 03 16:25:55 GMT 2025","","API Testing to Retrieve All Books","API Testing to Retrieve All Books","A034-Retrieve a list of books as an admin"
"","5496","A020 - User should be able to log in using valid credentials and add an item to the cart, and proceed to checkout and Finish Checkout process.","","Fri Jan 03 16:27:18 GMT 2025","passed","Fri Jan 03 16:27:23 GMT 2025","","sourceDemo Checkout Feature","sourceDemo Checkout Feature","A020 - User should be able to log in using valid credentials and add an item to the cart, and proceed to checkout and Finish Checkout process."
"","1286","A024 - Verify filtering by Name (Z to A)","","Fri Jan 03 16:27:09 GMT 2025","failed","Fri Jan 03 16:27:11 GMT 2025","","sourceDemo Filter Functionality","sourceDemo Filter Functionality","A024 - Verify filtering by Name (Z to A)"
"","275","A038-User retrieves a non-existent book","","Fri Jan 03 16:26:00 GMT 2025","failed","Fri Jan 03 16:26:00 GMT 2025","","API Testing to Retrieve Book Details","API Testing to Retrieve Book Details","A038-User retrieves a non-existent book"
"","336","A036-User retrieves a book by ID","","Fri Jan 03 16:25:59 GMT 2025","failed","Fri Jan 03 16:25:59 GMT 2025","","API Testing to Retrieve Book Details","API Testing to Retrieve Book Details","A036-User retrieves a book by ID"
"","349","A030-User Adding book with missing data","","Fri Jan 03 16:25:44 GMT 2025","failed","Fri Jan 03 16:25:44 GMT 2025","","API Testing to Insert Books Data","API Testing to Insert Books Data","A030-User Adding book with missing data"
"","382","A032-Insert Empty value for id","","Fri Jan 03 16:28:41 GMT 2025","failed","Fri Jan 03 16:28:41 GMT 2025","","API Testing to Insert Empty Id Value with Books Data","API Testing to Insert Empty Id Value with Books Data","A032-Insert Empty value for id"
"","359","A043-Attempt to delete a book with a non-existence ID","","Fri Jan 03 16:25:49 GMT 2025","failed","Fri Jan 03 16:25:49 GMT 2025","","API Testing to Delete Books Data","API Testing to Delete Books Data","A043-Attempt to delete a book with a non-existence ID"
"","5641","A021 - A user logs in using valid credentials, adds an item to the cart, proceeds to checkout,","","Fri Jan 03 16:28:14 GMT 2025","passed","Fri Jan 03 16:28:20 GMT 2025","","sourceDemo Checkout Feature","sourceDemo Checkout Feature","A021 - A user logs in using valid credentials, adds an item to the cart, proceeds to checkout,"
"","1033","Verify filtering by Price (Low to High)","","Fri Jan 03 16:27:00 GMT 2025","passed","Fri Jan 03 16:27:01 GMT 2025","","sourceDemo Filter Functionality","sourceDemo Filter Functionality","Verify filtering by Price (Low to High)"
"","1100","Verify filtering by Price (High to Low)","","Fri Jan 03 16:27:01 GMT 2025","passed","Fri Jan 03 16:27:02 GMT 2025","","sourceDemo Filter Functionality","sourceDemo Filter Functionality","Verify filtering by Price (High to Low)"
"","1100","Verify filtering by Name (Z to A)","","Fri Jan 03 16:26:59 GMT 2025","passed","Fri Jan 03 16:27:00 GMT 2025","","sourceDemo Filter Functionality","sourceDemo Filter Functionality","Verify filtering by Name (Z to A)"
"","155","A033-Retrieve a list of books as a user","","Fri Jan 03 16:25:54 GMT 2025","passed","Fri Jan 03 16:25:54 GMT 2025","","API Testing to Retrieve All Books","API Testing to Retrieve All Books","A033-Retrieve a list of books as a user"
"","1415","A019-Add item to cart and then remove it to test if the item is removed from cart","","Fri Jan 03 16:29:02 GMT 2025","passed","Fri Jan 03 16:29:03 GMT 2025","","Remove item from cart on sourceDemo Website","Remove item from cart on sourceDemo Website","A019-Add item to cart and then remove it to test if the item is removed from cart"
"","3699","A009-Verify filtering by Name (A to Z)","","Fri Jan 03 16:26:55 GMT 2025","passed","Fri Jan 03 16:26:59 GMT 2025","","sourceDemo Filter Functionality","sourceDemo Filter Functionality","A009-Verify filtering by Name (A to Z)"
