"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5527","User cancels checkout and is redirected to the inventory dashboard","","Fri Jan 03 07:07:29 GMT 2025","passed","Fri Jan 03 07:07:34 GMT 2025","","sourceDemo Checkout Cancel Button","sourceDemo Checkout Cancel Button","User cancels checkout and is redirected to the inventory dashboard"
"","447","Insert Integer value for author when inserting new book using POST request","","Fri Jan 03 07:09:05 GMT 2025","broken","Fri Jan 03 07:09:06 GMT 2025","","API Testing to Insert Invalid Books Data","API Testing to Insert Invalid Books Data","Insert Integer value for author when inserting new book using POST request"
"","5337","User should be able to log in using valid credentials and add an item to the cart,and proceed to checkout","","Fri Jan 03 07:08:10 GMT 2025","passed","Fri Jan 03 07:08:16 GMT 2025","","sourceDemo  Checkout Feature","sourceDemo  Checkout Feature","User should be able to log in using valid credentials and add an item to the cart,and proceed to checkout"
"","1036","Verify filtering by Price (High to Low)","","Fri Jan 03 07:08:01 GMT 2025","passed","Fri Jan 03 07:08:02 GMT 2025","","sourceDemo Filter Functionality","sourceDemo Filter Functionality","Verify filtering by Price (High to Low)"
"","3868","user should be able to login using Valid Credentials","","Fri Jan 03 07:08:36 GMT 2025","passed","Fri Jan 03 07:08:40 GMT 2025","","sourceDemo Login Feature","sourceDemo Login Feature","user should be able to login using Valid Credentials"
"","190","Invalid login with admin credentials","","Fri Jan 03 07:06:45 GMT 2025","passed","Fri Jan 03 07:06:45 GMT 2025","","API Testing for Login User","API Testing for Login User","Invalid login with admin credentials"
"","180","Adding book with invalid data","","Fri Jan 03 07:08:06 GMT 2025","passed","Fri Jan 03 07:08:06 GMT 2025","","API Testing to Invalid Type Data","API Testing to Invalid Type Data","Adding book with invalid data"
"","564","Admin successfully adds a new book","","Fri Jan 03 07:06:50 GMT 2025","failed","Fri Jan 03 07:06:51 GMT 2025","","API Testing to Insert Books Data","API Testing to Insert Books Data","Admin successfully adds a new book"
"","307","Admin retrieves a book by ID","","Fri Jan 03 07:07:06 GMT 2025","failed","Fri Jan 03 07:07:06 GMT 2025","","API Testing to Retrieve Book Details","API Testing to Retrieve Book Details","Admin retrieves a book by ID"
"","4407","Add item to cart and then remove it","","Fri Jan 03 07:09:18 GMT 2025","passed","Fri Jan 03 07:09:22 GMT 2025","","Remove item from cart on sourceDemo Website","Remove item from cart on sourceDemo Website","Add item to cart and then remove it"
"","4020","Verify that clicking on an item navigates to the item detail page","","Fri Jan 03 07:08:44 GMT 2025","passed","Fri Jan 03 07:08:48 GMT 2025","","sourceDemo Product Navigation Feature","sourceDemo Product Navigation Feature","Verify that clicking on an item navigates to the item detail page"
"","1628","Successfully adding a new book","","Thu Jan 02 04:03:28 GMT 2025","passed","Thu Jan 02 04:03:30 GMT 2025","","API Testing to Insert Books Data","API Testing to Insert Books Data","Successfully adding a new book"
"","4337","User should be able to log in using valid credentials and add an item to the cart","","Fri Jan 03 07:07:47 GMT 2025","passed","Fri Jan 03 07:07:51 GMT 2025","","sourceDemo Continue Shipping Feature","sourceDemo Continue Shipping Feature","User should be able to log in using valid credentials and add an item to the cart"
"","1023","Verify filtering by Price (Low to High)","","Fri Jan 03 07:08:00 GMT 2025","passed","Fri Jan 03 07:08:01 GMT 2025","","sourceDemo Filter Functionality","sourceDemo Filter Functionality","Verify filtering by Price (Low to High)"
"","3866","Verify filtering by Name (A to Z)","","Fri Jan 03 07:07:55 GMT 2025","passed","Fri Jan 03 07:07:59 GMT 2025","","sourceDemo Filter Functionality","sourceDemo Filter Functionality","Verify filtering by Name (A to Z)"
"","162","Admin retrieves a non-existent book","","Fri Jan 03 07:07:07 GMT 2025","passed","Fri Jan 03 07:07:07 GMT 2025","","API Testing to Retrieve Book Details","API Testing to Retrieve Book Details","Admin retrieves a non-existent book"
"","410","Successfully updating a book's title and author","","Fri Jan 03 07:09:26 GMT 2025","failed","Fri Jan 03 07:09:26 GMT 2025","","API Testing to Update Books Data","API Testing to Update Books Data","Successfully updating a book's title and author"
"","1510","Successfully retrieve a book by valid ID","","Thu Jan 02 03:59:02 GMT 2025","failed","Thu Jan 02 03:59:03 GMT 2025","","API Testing to Retrieve Book Details","API Testing to Retrieve Book Details","Successfully retrieve a book by valid ID"
"","565","Attempt to delete a book without proper authorization","","Fri Jan 03 07:06:56 GMT 2025","broken","Fri Jan 03 07:06:57 GMT 2025","","API Testing to Delete Books Data","API Testing to Delete Books Data","Attempt to delete a book without proper authorization"
"","387","Attempt to delete a book with a non-existence ID","","Fri Jan 03 07:06:56 GMT 2025","broken","Fri Jan 03 07:06:56 GMT 2025","","API Testing to Delete Books Data","API Testing to Delete Books Data","Attempt to delete a book with a non-existence ID"
"","4396","Add item to cart and verify in cart page","","Fri Jan 03 07:07:20 GMT 2025","passed","Fri Jan 03 07:07:25 GMT 2025","","Add item to cart on sourceDemo Website","Add item to cart on sourceDemo Website","Add item to cart and verify in cart page"
"","3900","Verify the ""Back to products"" option on the item's new page","","Fri Jan 03 07:09:31 GMT 2025","passed","Fri Jan 03 07:09:35 GMT 2025","","sourceDemo Product Navigation Feature","sourceDemo Product Navigation Feature","Verify the ""Back to products"" option on the item's new page"
"","346","Insert Integer value for title when inserting new book using POST request","","Fri Jan 03 07:09:05 GMT 2025","broken","Fri Jan 03 07:09:05 GMT 2025","","API Testing to Insert Invalid Books Data","API Testing to Insert Invalid Books Data","Insert Integer value for title when inserting new book using POST request"
"","469","Attempt to retrieve a book with an invalid ID","","Thu Jan 02 03:59:03 GMT 2025","passed","Thu Jan 02 03:59:04 GMT 2025","","API Testing to Retrieve Book Details","API Testing to Retrieve Book Details","Attempt to retrieve a book with an invalid ID"
"","4444","user should be able to login using Valid Credentials","","Fri Jan 03 07:08:20 GMT 2025","passed","Fri Jan 03 07:08:24 GMT 2025","","sourceDemo Add to Cart Feature","sourceDemo Add to Cart Feature","user should be able to login using Valid Credentials"
"","1089","Verify filtering by Name (Z to A)","","Fri Jan 03 07:07:59 GMT 2025","passed","Fri Jan 03 07:08:00 GMT 2025","","sourceDemo Filter Functionality","sourceDemo Filter Functionality","Verify filtering by Name (Z to A)"
"","337","Updating book with missing values","","Fri Jan 03 07:09:27 GMT 2025","failed","Fri Jan 03 07:09:27 GMT 2025","","API Testing to Update Books Data","API Testing to Update Books Data","Updating book with missing values"
"","4265","User should be able to add and remove a specific item from the cart","","Fri Jan 03 07:08:28 GMT 2025","passed","Fri Jan 03 07:08:33 GMT 2025","","sourceDemo Item Remove from Cart Feature","sourceDemo Item Remove from Cart Feature","User should be able to add and remove a specific item from the cart"
"","373","User retrieves a book by ID","","Fri Jan 03 07:07:06 GMT 2025","failed","Fri Jan 03 07:07:07 GMT 2025","","API Testing to Retrieve Book Details","API Testing to Retrieve Book Details","User retrieves a book by ID"
"","4298","Verify Add to Cart and Remove functionality directly from the dashboard","","Fri Jan 03 07:09:09 GMT 2025","passed","Fri Jan 03 07:09:14 GMT 2025","","sourceDemo RemoveItem Feature","sourceDemo RemoveItem Feature","Verify Add to Cart and Remove functionality directly from the dashboard"
"","223","Retrieve a list of books as a user","","Fri Jan 03 07:07:01 GMT 2025","passed","Fri Jan 03 07:07:01 GMT 2025","","API Testing to Retrieve All Books","API Testing to Retrieve All Books","Retrieve a list of books as a user"
"","175","Valid login with user credentials","","Fri Jan 03 07:06:45 GMT 2025","passed","Fri Jan 03 07:06:45 GMT 2025","","API Testing for Login User","API Testing for Login User","Valid login with user credentials"
