"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5777","A016-User cancels checkout and is redirected to the inventory dashboard","","Fri Jan 03 13:52:04 GMT 2025","passed","Fri Jan 03 13:52:10 GMT 2025","","sourceDemo Checkout Cancel Button","sourceDemo Checkout Cancel Button","A016-User cancels checkout and is redirected to the inventory dashboard"
"","1247","A025 - Verify filtering by Price (Low to High)","","Fri Jan 03 13:52:53 GMT 2025","failed","Fri Jan 03 13:52:54 GMT 2025","","sourceDemo Filter Functionality","sourceDemo Filter Functionality","A025 - Verify filtering by Price (Low to High)"
"","1102","Verify filtering by Name (Z to A)","","Fri Jan 03 13:52:40 GMT 2025","passed","Fri Jan 03 13:52:41 GMT 2025","","sourceDemo Filter Functionality","sourceDemo Filter Functionality","Verify filtering by Name (Z to A)"
"","4285","A004-User should log in to the system and Verify that when clicking on an item name it navigates to the item detail page","","Fri Jan 03 13:54:08 GMT 2025","passed","Fri Jan 03 13:54:12 GMT 2025","","Navigates to the item details page","Navigates to the item details page","A004-User should log in to the system and Verify that when clicking on an item name it navigates to the item detail page"
"","4650","A002- user should be able to login using Valid Credentials and click on the add to cart option of the inventory page","","Fri Jan 03 13:51:46 GMT 2025","passed","Fri Jan 03 13:51:50 GMT 2025","","Add to Cart Feature in inventory page","Add to Cart Feature in inventory page","A002- user should be able to login using Valid Credentials and click on the add to cart option of the inventory page"
"","357","A036-User retrieves a book by ID","","Fri Jan 03 13:51:41 GMT 2025","failed","Fri Jan 03 13:51:41 GMT 2025","","API Testing to Retrieve Book Details","API Testing to Retrieve Book Details","A036-User retrieves a book by ID"
"","210","Adding book with invalid data","","Fri Jan 03 13:53:09 GMT 2025","passed","Fri Jan 03 13:53:10 GMT 2025","","API Testing to Invalid Type Data","API Testing to Invalid Type Data","Adding book with invalid data"
"","367","A031-Insert Integer value for author when inserting new book using POST request","","Fri Jan 03 13:54:29 GMT 2025","failed","Fri Jan 03 13:54:29 GMT 2025","","API Testing to Insert Invalid Author Data","API Testing to Insert Invalid Author Data","A031-Insert Integer value for author when inserting new book using POST request"
"","1050","Verify filtering by Price (High to Low)","","Fri Jan 03 13:52:42 GMT 2025","passed","Fri Jan 03 13:52:43 GMT 2025","","sourceDemo Filter Functionality","sourceDemo Filter Functionality","Verify filtering by Price (High to Low)"
"","1330","A024 - Verify filtering by Name (Z to A)","","Fri Jan 03 13:52:51 GMT 2025","failed","Fri Jan 03 13:52:53 GMT 2025","","sourceDemo Filter Functionality","sourceDemo Filter Functionality","A024 - Verify filtering by Name (Z to A)"
"","5547","A006-User should be able to log in using valid credentials and add an item to the cart,and proceed to checkout","","Fri Jan 03 13:53:14 GMT 2025","passed","Fri Jan 03 13:53:19 GMT 2025","","sourceDemo  Checkout Feature","sourceDemo  Checkout Feature","A006-User should be able to log in using valid credentials and add an item to the cart,and proceed to checkout"
